   x      u
0.1801801802 -0.6624232813
0.1811811812 -0.6630576955
0.1821821822 -0.6636757412
0.1831831832 -0.6642775814
0.1841841842 -0.6648633775
0.1851851852 -0.6654332893
0.1861861862 -0.6659874751
0.1871871872 -0.6665260915
0.1881881882 -0.6670492934
0.1891891892 -0.6675572346
0.1901901902 -0.6680500669
0.1911911912 -0.6685279409
0.1921921922 -0.6689910056
0.1931931932 -0.6694394084
0.1941941942 -0.6698732953
0.1951951952 -0.6702928110
0.1961961962 -0.6706980986
0.1971971972 -0.6710892999
0.1981981982 -0.6714665550
0.1991991992 -0.6718300029
0.2002002002 -0.6721797812
0.2012012012 -0.6725160259
0.2022022022 -0.6728388720
0.2032032032 -0.6731484528
0.2042042042 -0.6734449004
0.2052052052 -0.6737283457
0.2062062062 -0.6739989181
0.2072072072 -0.6742567460
0.2082082082 -0.6745019561
0.2092092092 -0.6747346743
0.2102102102 -0.6749550248
0.2112112112 -0.6751631310
0.2122122122 -0.6753591147
0.2132132132 -0.6755430967
0.2142142142 -0.6757151965
0.2152152152 -0.6758755325
0.2162162162 -0.6760242219
0.2172172172 -0.6761613806
0.2182182182 -0.6762871234
0.2192192192 -0.6764015642
0.2202202202 -0.6765048155
0.2212212212 -0.6765969886
0.2222222222 -0.6766781940
0.2232232232 -0.6767485409
0.2242242242 -0.6768081375
0.2252252252 -0.6768570908
0.2262262262 -0.6768955067
0.2272272272 -0.6769234904
0.2282282282 -0.6769411457
0.2292292292 -0.6769485754
0.2302302302 -0.6769458814
0.2312312312 -0.6769331645
0.2322322322 -0.6769105246
0.2332332332 -0.6768780605
0.2342342342 -0.6768358701
0.2352352352 -0.6767840502
0.2362362362 -0.6767226967
0.2372372372 -0.6766519046
0.2382382382 -0.6765717679
0.2392392392 -0.6764823797
0.2402402402 -0.6763838321
0.2412412412 -0.6762762163
0.2422422422 -0.6761596227
0.2432432432 -0.6760341407
0.2442442442 -0.6758998588
0.2452452452 -0.6757568646
0.2462462462 -0.6756052450
0.2472472472 -0.6754450859
0.2482482482 -0.6752764722
0.2492492492 -0.6750994883
0.2502502503 -0.6749142174
0.2512512513 -0.6747207422
0.2522522523 -0.6745191442
0.2532532533 -0.6743095045
0.2542542543 -0.6740919032
0.2552552553 -0.6738664195
0.2562562563 -0.6736331319
0.2572572573 -0.6733921182
0.2582582583 -0.6731434553
0.2592592593 -0.6728872194
0.2602602603 -0.6726234859
0.2612612613 -0.6723523295
0.2622622623 -0.6720738242
0.2632632633 -0.6717880431
0.2642642643 -0.6714950588
0.2652652653 -0.6711949429
0.2662662663 -0.6708877664
0.2672672673 -0.6705735998
0.2682682683 -0.6702525126
0.2692692693 -0.6699245737
0.2702702703 -0.6695898515
0.2712712713 -0.6692484134
0.2722722723 -0.6689003263
0.2732732733 -0.6685456566
0.2742742743 -0.6681844697
0.2752752753 -0.6678168305
0.2762762763 -0.6674428034
0.2772772773 -0.6670624519
0.2782782783 -0.6666758390
0.2792792793 -0.6662830271
0.2802802803 -0.6658840780
0.2812812813 -0.6654790527
0.2822822823 -0.6650680118
0.2832832833 -0.6646510153
0.2842842843 -0.6642281223
0.2852852853 -0.6637993917
0.2862862863 -0.6633648816
0.2872872873 -0.6629246495
0.2882882883 -0.6624787525
0.2892892893 -0.6620272470
0.2902902903 -0.6615701888
0.2912912913 -0.6611076332
0.2922922923 -0.6606396351
0.2932932933 -0.6601662485
0.2942942943 -0.6596875272
0.2952952953 -0.6592035243
0.2962962963 -0.6587142924
0.2972972973 -0.6582198836
0.2982982983 -0.6577203495
0.2992992993 -0.6572157411
0.3003003003 -0.6567061089
0.3013013013 -0.6561915030
0.3023023023 -0.6556719729
0.3033033033 -0.6551475676
0.3043043043 -0.6546183358
0.3053053053 -0.6540843255
0.3063063063 -0.6535455843
0.3073073073 -0.6530021592
0.3083083083 -0.6524540971
0.3093093093 -0.6519014439
0.3103103103 -0.6513442456
0.3113113113 -0.6507825473
0.3123123123 -0.6502163938
0.3133133133 -0.6496458296
0.3143143143 -0.6490708986
0.3153153153 -0.6484916442
0.3163163163 -0.6479081095
0.3173173173 -0.6473203372
0.3183183183 -0.6467283695
0.3193193193 -0.6461322480
0.3203203203 -0.6455320144
0.3213213213 -0.6449277094
0.3223223223 -0.6443193736
0.3233233233 -0.6437070472
0.3243243243 -0.6430907699
0.3253253253 -0.6424705811
0.3263263263 -0.6418465197
0.3273273273 -0.6412186243
0.3283283283 -0.6405869331
0.3293293293 -0.6399514840
0.3303303303 -0.6393123142
0.3313313313 -0.6386694609
0.3323323323 -0.6380229608
0.3333333333 -0.6373728502
0.3343343343 -0.6367191650
0.3353353353 -0.6360619409
0.3363363363 -0.6354012131
0.3373373373 -0.6347370165
0.3383383383 -0.6340693857
0.3393393393 -0.6333983548
0.3403403403 -0.6327239578
0.3413413413 -0.6320462281
0.3423423423 -0.6313651989
0.3433433433 -0.6306809031
0.3443443443 -0.6299933733
0.3453453453 -0.6293026417
0.3463463463 -0.6286087400
0.3473473473 -0.6279117000
0.3483483483 -0.6272115529
0.3493493493 -0.6265083296
0.3503503504 -0.6258020608
0.3513513514 -0.6250927767
0.3523523524 -0.6243805075
0.3533533534 -0.6236652828
0.3543543544 -0.6229471322
0.3553553554 -0.6222260846
0.3563563564 -0.6215021691
0.3573573574 -0.6207754141
0.3583583584 -0.6200458480
0.3593593594 -0.6193134987
0.3603603604 -0.6185783940
0.3613613614 -0.6178405612
0.3623623624 -0.6171000277
0.3633633634 -0.6163568202
0.3643643644 -0.6156109654
0.3653653654 -0.6148624897
0.3663663664 -0.6141114192
0.3673673674 -0.6133577796
0.3683683684 -0.6126015968
0.3693693694 -0.6118428958
0.3703703704 -0.6110817019
0.3713713714 -0.6103180398
0.3723723724 -0.6095519342
0.3733733734 -0.6087834093
0.3743743744 -0.6080124893
0.3753753754 -0.6072391981
0.3763763764 -0.6064635591
0.3773773774 -0.6056855959
0.3783783784 -0.6049053316
0.3793793794 -0.6041227891
0.3803803804 -0.6033379911
0.3813813814 -0.6025509600
0.3823823824 -0.6017617181
0.3833833834 -0.6009702874
0.3843843844 -0.6001766897
0.3853853854 -0.5993809467
0.3863863864 -0.5985830796
0.3873873874 -0.5977831096
0.3883883884 -0.5969810577
0.3893893894 -0.5961769446
0.3903903904 -0.5953707908
0.3913913914 -0.5945626167
0.3923923924 -0.5937524423
0.3933933934 -0.5929402877
0.3943943944 -0.5921261725
0.3953953954 -0.5913101162
0.3963963964 -0.5904921382
0.3973973974 -0.5896722577
0.3983983984 -0.5888504935
0.3993993994 -0.5880268645
0.4004004004 -0.5872013892
0.4014014014 -0.5863740859
0.4024024024 -0.5855449730
0.4034034034 -0.5847140685
0.4044044044 -0.5838813901
0.4054054054 -0.5830469555
0.4064064064 -0.5822107823
0.4074074074 -0.5813728877
0.4084084084 -0.5805332889
0.4094094094 -0.5796920029
0.4104104104 -0.5788490465
0.4114114114 -0.5780044363
0.4124124124 -0.5771581888
0.4134134134 -0.5763103202
0.4144144144 -0.5754608468
0.4154154154 -0.5746097846
0.4164164164 -0.5737571493
0.4174174174 -0.5729029565
0.4184184184 -0.5720472220
