   x      u
0.0000000000 0.0000000000
0.0000100001 0.0000899964
0.0000200002 0.0001799827
0.0000300003 0.0002699591
0.0000400004 0.0003599254
0.0000500005 0.0004498818
0.0000600006 0.0005398282
0.0000700007 0.0006297645
0.0000800008 0.0007196909
0.0000900009 0.0008096073
0.0001000010 0.0008995137
0.0001100011 0.0009894101
0.0001200012 0.0010792965
0.0001300013 0.0011691730
0.0001400014 0.0012590394
0.0001500015 0.0013488958
0.0001600016 0.0014387423
0.0001700017 0.0015285788
0.0001800018 0.0016184053
0.0001900019 0.0017082218
0.0002000020 0.0017980284
0.0002100021 0.0018878249
0.0002200022 0.0019776115
0.0002300023 0.0020673881
0.0002400024 0.0021571547
0.0002500025 0.0022469114
0.0002600026 0.0023366581
0.0002700027 0.0024263948
0.0002800028 0.0025161215
0.0002900029 0.0026058382
0.0003000030 0.0026955450
0.0003100031 0.0027852418
0.0003200032 0.0028749287
0.0003300033 0.0029646056
0.0003400034 0.0030542725
0.0003500035 0.0031439294
0.0003600036 0.0032335764
0.0003700037 0.0033232134
0.0003800038 0.0034128404
0.0003900039 0.0035024575
0.0004000040 0.0035920647
0.0004100041 0.0036816618
0.0004200042 0.0037712490
0.0004300043 0.0038608263
0.0004400044 0.0039503936
0.0004500045 0.0040399509
0.0004600046 0.0041294983
0.0004700047 0.0042190357
0.0004800048 0.0043085632
0.0004900049 0.0043980807
0.0005000050 0.0044875883
0.0005100051 0.0045770859
0.0005200052 0.0046665735
0.0005300053 0.0047560513
0.0005400054 0.0048455190
0.0005500055 0.0049349769
0.0005600056 0.0050244247
0.0005700057 0.0051138627
0.0005800058 0.0052032907
0.0005900059 0.0052927087
0.0006000060 0.0053821168
0.0006100061 0.0054715150
0.0006200062 0.0055609032
0.0006300063 0.0056502815
0.0006400064 0.0057396499
0.0006500065 0.0058290083
0.0006600066 0.0059183568
0.0006700067 0.0060076953
0.0006800068 0.0060970239
0.0006900069 0.0061863426
0.0007000070 0.0062756514
0.0007100071 0.0063649502
0.0007200072 0.0064542391
0.0007300073 0.0065435180
0.0007400074 0.0066327871
0.0007500075 0.0067220462
0.0007600076 0.0068112954
0.0007700077 0.0069005346
0.0007800078 0.0069897639
0.0007900079 0.0070789834
0.0008000080 0.0071681928
0.0008100081 0.0072573924
0.0008200082 0.0073465821
0.0008300083 0.0074357618
0.0008400084 0.0075249316
0.0008500085 0.0076140915
0.0008600086 0.0077032415
0.0008700087 0.0077923816
0.0008800088 0.0078815117
0.0008900089 0.0079706320
0.0009000090 0.0080597423
0.0009100091 0.0081488427
0.0009200092 0.0082379332
0.0009300093 0.0083270138
0.0009400094 0.0084160845
0.0009500095 0.0085051453
0.0009600096 0.0085941962
0.0009700097 0.0086832371
0.0009800098 0.0087722682
0.0009900099 0.0088612894
0.0010000100 0.0089503007
0.0010100101 0.0090393020
0.0010200102 0.0091282935
0.0010300103 0.0092172751
0.0010400104 0.0093062467
0.0010500105 0.0093952085
0.0010600106 0.0094841604
0.0010700107 0.0095731024
0.0010800108 0.0096620345
0.0010900109 0.0097509567
0.0011000110 0.0098398690
0.0011100111 0.0099287714
0.0011200112 0.0100176639
0.0011300113 0.0101065465
0.0011400114 0.0101954193
0.0011500115 0.0102842821
0.0011600116 0.0103731351
0.0011700117 0.0104619782
0.0011800118 0.0105508114
0.0011900119 0.0106396347
0.0012000120 0.0107284482
0.0012100121 0.0108172517
0.0012200122 0.0109060454
0.0012300123 0.0109948292
0.0012400124 0.0110836032
0.0012500125 0.0111723672
0.0012600126 0.0112611214
0.0012700127 0.0113498657
0.0012800128 0.0114386001
0.0012900129 0.0115273246
0.0013000130 0.0116160393
0.0013100131 0.0117047441
0.0013200132 0.0117934391
0.0013300133 0.0118821241
0.0013400134 0.0119707993
0.0013500135 0.0120594647
0.0013600136 0.0121481201
0.0013700137 0.0122367657
0.0013800138 0.0123254015
0.0013900139 0.0124140273
0.0014000140 0.0125026434
0.0014100141 0.0125912495
0.0014200142 0.0126798458
0.0014300143 0.0127684322
0.0014400144 0.0128570088
0.0014500145 0.0129455755
0.0014600146 0.0130341324
0.0014700147 0.0131226794
0.0014800148 0.0132112165
0.0014900149 0.0132997438
0.0015000150 0.0133882613
0.0015100151 0.0134767689
0.0015200152 0.0135652666
0.0015300153 0.0136537545
0.0015400154 0.0137422325
0.0015500155 0.0138307007
0.0015600156 0.0139191591
0.0015700157 0.0140076076
0.0015800158 0.0140960463
0.0015900159 0.0141844751
0.0016000160 0.0142728940
0.0016100161 0.0143613032
0.0016200162 0.0144497025
0.0016300163 0.0145380919
0.0016400164 0.0146264715
0.0016500165 0.0147148413
0.0016600166 0.0148032013
0.0016700167 0.0148915514
0.0016800168 0.0149798916
0.0016900169 0.0150682221
0.0017000170 0.0151565427
0.0017100171 0.0152448535
0.0017200172 0.0153331544
0.0017300173 0.0154214455
0.0017400174 0.0155097268
0.0017500175 0.0155979983
0.0017600176 0.0156862599
0.0017700177 0.0157745117
0.0017800178 0.0158627537
0.0017900179 0.0159509858
0.0018000180 0.0160392082
0.0018100181 0.0161274207
0.0018200182 0.0162156234
0.0018300183 0.0163038162
0.0018400184 0.0163919993
0.0018500185 0.0164801725
0.0018600186 0.0165683359
0.0018700187 0.0166564895
0.0018800188 0.0167446333
0.0018900189 0.0168327673
0.0019000190 0.0169208914
0.0019100191 0.0170090058
0.0019200192 0.0170971103
0.0019300193 0.0171852051
0.0019400194 0.0172732900
