   x      u
0.0000000000 0.0000000000
0.0001000100 0.0018000092
0.0002000200 0.0026985144
0.0003000300 0.0035960215
0.0004000400 0.0044925314
0.0005000500 0.0053880451
0.0006000600 0.0062825635
0.0007000700 0.0071760878
0.0008000800 0.0080686188
0.0009000900 0.0089601576
0.0010001000 0.0098507051
0.0011001100 0.0107402624
0.0012001200 0.0116288305
0.0013001300 0.0125164103
0.0014001400 0.0134030028
0.0015001500 0.0142886090
0.0016001600 0.0151732299
0.0017001700 0.0160568665
0.0018001800 0.0169395197
0.0019001900 0.0178211906
0.0020002000 0.0187018801
0.0021002100 0.0195815892
0.0022002200 0.0204603189
0.0023002300 0.0213380702
0.0024002400 0.0222148440
0.0025002500 0.0230906413
0.0026002600 0.0239654632
0.0027002700 0.0248393105
0.0028002800 0.0257121842
0.0029002900 0.0265840854
0.0030003000 0.0274550149
0.0031003100 0.0283249739
0.0032003200 0.0291939631
0.0033003300 0.0300619837
0.0034003400 0.0309290365
0.0035003500 0.0317951226
0.0036003600 0.0326602429
0.0037003700 0.0335243983
0.0038003800 0.0343875899
0.0039003900 0.0352498186
0.0040004000 0.0361110853
0.0041004100 0.0369713911
0.0042004200 0.0378307368
0.0043004300 0.0386891235
0.0044004400 0.0395465521
0.0045004500 0.0404030236
0.0046004600 0.0412585388
0.0047004700 0.0421130989
0.0048004800 0.0429667046
0.0049004900 0.0438193571
0.0050005001 0.0446710571
0.0051005101 0.0455218058
0.0052005201 0.0463716040
0.0053005301 0.0472204527
0.0054005401 0.0480683528
0.0055005501 0.0489153053
0.0056005601 0.0497613111
0.0057005701 0.0506063712
0.0058005801 0.0514504866
0.0059005901 0.0522936581
0.0060006001 0.0531358867
0.0061006101 0.0539771733
0.0062006201 0.0548175190
0.0063006301 0.0556569246
0.0064006401 0.0564953910
0.0065006501 0.0573329193
0.0066006601 0.0581695104
0.0067006701 0.0590051651
0.0068006801 0.0598398844
0.0069006901 0.0606736693
0.0070007001 0.0615065207
0.0071007101 0.0623384395
0.0072007201 0.0631694267
0.0073007301 0.0639994832
0.0074007401 0.0648286099
0.0075007501 0.0656568077
0.0076007601 0.0664840776
0.0077007701 0.0673104205
0.0078007801 0.0681358374
0.0079007901 0.0689603291
0.0080008001 0.0697838966
0.0081008101 0.0706065408
0.0082008201 0.0714282626
0.0083008301 0.0722490630
0.0084008401 0.0730689429
0.0085008501 0.0738879031
0.0086008601 0.0747059447
0.0087008701 0.0755230684
0.0088008801 0.0763392754
0.0089008901 0.0771545664
0.0090009001 0.0779689424
0.0091009101 0.0787824042
0.0092009201 0.0795949529
0.0093009301 0.0804065893
0.0094009401 0.0812173143
0.0095009501 0.0820271289
0.0096009601 0.0828360339
0.0097009701 0.0836440303
0.0098009801 0.0844511190
0.0099009901 0.0852573008
0.0100010001 0.0860625768
0.0101010101 0.0868669477
0.0102010201 0.0876704145
0.0103010301 0.0884729781
0.0104010401 0.0892746394
0.0105010501 0.0900753994
0.0106010601 0.0908752588
0.0107010701 0.0916742186
0.0108010801 0.0924722798
0.0109010901 0.0932694431
0.0110011001 0.0940657095
0.0111011101 0.0948610800
0.0112011201 0.0956555553
0.0113011301 0.0964491364
0.0114011401 0.0972418242
0.0115011501 0.0980336196
0.0116011601 0.0988245234
0.0117011701 0.0996145366
0.0118011801 0.1004036600
0.0119011901 0.1011918946
0.0120012001 0.1019792412
0.0121012101 0.1027657007
0.0122012201 0.1035512740
0.0123012301 0.1043359620
0.0124012401 0.1051197656
0.0125012501 0.1059026856
0.0126012601 0.1066847229
0.0127012701 0.1074658785
0.0128012801 0.1082461532
0.0129012901 0.1090255479
0.0130013001 0.1098040634
0.0131013101 0.1105817007
0.0132013201 0.1113584605
0.0133013301 0.1121343439
0.0134013401 0.1129093517
0.0135013501 0.1136834847
0.0136013601 0.1144567438
0.0137013701 0.1152291299
0.0138013801 0.1160006439
0.0139013901 0.1167712866
0.0140014001 0.1175410589
0.0141014101 0.1183099617
0.0142014201 0.1190779959
0.0143014301 0.1198451622
0.0144014401 0.1206114617
0.0145014501 0.1213768951
0.0146014601 0.1221414633
0.0147014701 0.1229051672
0.0148014801 0.1236680077
0.0149014901 0.1244299856
0.0150015002 0.1251911017
0.0151015102 0.1259513570
0.0152015202 0.1267107522
0.0153015302 0.1274692884
0.0154015402 0.1282269662
0.0155015502 0.1289837866
0.0156015602 0.1297397504
0.0157015702 0.1304948585
0.0158015802 0.1312491118
0.0159015902 0.1320025110
0.0160016002 0.1327550571
0.0161016102 0.1335067509
0.0162016202 0.1342575932
0.0163016302 0.1350075849
0.0164016402 0.1357567269
0.0165016502 0.1365050200
0.0166016602 0.1372524651
0.0167016702 0.1379990629
0.0168016802 0.1387448144
0.0169016902 0.1394897204
0.0170017002 0.1402337817
0.0171017102 0.1409769992
0.0172017202 0.1417193737
0.0173017302 0.1424609061
0.0174017402 0.1432015972
0.0175017502 0.1439414478
0.0176017602 0.1446804589
0.0177017702 0.1454186311
0.0178017802 0.1461559655
0.0179017902 0.1468924627
0.0180018002 0.1476281237
0.0181018102 0.1483629492
0.0182018202 0.1490969402
0.0183018302 0.1498300974
0.0184018402 0.1505624217
0.0185018502 0.1512939139
0.0186018602 0.1520245749
0.0187018702 0.1527544054
0.0188018802 0.1534834063
0.0189018902 0.1542115785
0.0190019002 0.1549389227
0.0191019102 0.1556654399
0.0192019202 0.1563911307
0.0193019302 0.1571159961
0.0194019402 0.1578400369
0.0195019502 0.1585632538
0.0196019602 0.1592856478
0.0197019702 0.1600072196
0.0198019802 0.1607279700
0.0199019902 0.1614479000
0.0200020002 0.1621670102
0.0201020102 0.1628853016
0.0202020202 0.1636027749
0.0203020302 0.1643194310
0.0204020402 0.1650352707
0.0205020502 0.1657502947
0.0206020602 0.1664645039
0.0207020702 0.1671778992
0.0208020802 0.1678904813
0.0209020902 0.1686022511
0.0210021002 0.1693132093
0.0211021102 0.1700233567
0.0212021202 0.1707326943
0.0213021302 0.1714412227
0.0214021402 0.1721489429
0.0215021502 0.1728558556
0.0216021602 0.1735619615
0.0217021702 0.1742672616
0.0218021802 0.1749717566
0.0219021902 0.1756754474
0.0220022002 0.1763783347
0.0221022102 0.1770804193
0.0222022202 0.1777817021
0.0223022302 0.1784821838
0.0224022402 0.1791818652
0.0225022502 0.1798807472
0.0226022602 0.1805788305
0.0227022702 0.1812761160
0.0228022802 0.1819726044
0.0229022902 0.1826682966
0.0230023002 0.1833631933
0.0231023102 0.1840572953
0.0232023202 0.1847506034
0.0233023302 0.1854431184
0.0234023402 0.1861348412
0.0235023502 0.1868257724
0.0236023602 0.1875159129
0.0237023702 0.1882052635
0.0238023802 0.1888938250
0.0239023902 0.1895815982
0.0240024002 0.1902685838
0.0241024102 0.1909547826
0.0242024202 0.1916401954
0.0243024302 0.1923248231
0.0244024402 0.1930086663
0.0245024502 0.1936917259
0.0246024602 0.1943740027
0.0247024702 0.1950554974
0.0248024802 0.1957362108
0.0249024902 0.1964161438
0.0250025003 0.1970952970
0.0251025103 0.1977736713
0.0252025203 0.1984512674
0.0253025303 0.1991280861
0.0254025403 0.1998041283
0.0255025503 0.2004793946
0.0256025603 0.2011538858
0.0257025703 0.2018276028
0.0258025803 0.2025005463
0.0259025903 0.2031727170
0.0260026003 0.2038441158
0.0261026103 0.2045147434
0.0262026203 0.2051846006
