   x      v
0.0000000000 -0.0000000000
0.0010010010 0.0180001743
0.0020020020 0.0268509590
0.0030030030 0.0356035295
0.0040040040 0.0442588639
0.0050050050 0.0528179308
0.0060060060 0.0612816890
0.0070070070 0.0696510878
0.0080080080 0.0779270670
0.0090090090 0.0861105571
0.0100100100 0.0942024792
0.0110110110 0.1022037455
0.0120120120 0.1101152587
0.0130130130 0.1179379130
0.0140140140 0.1256725933
0.0150150150 0.1333201758
0.0160160160 0.1408815280
0.0170170170 0.1483575089
0.0180180180 0.1557489687
0.0190190190 0.1630567493
0.0200200200 0.1702816840
0.0210210210 0.1774245981
0.0220220220 0.1844863085
0.0230230230 0.1914676240
0.0240240240 0.1983693453
0.0250250250 0.2051922652
0.0260260260 0.2119371685
0.0270270270 0.2186048324
0.0280280280 0.2251960260
0.0290290290 0.2317115112
0.0300300300 0.2381520418
0.0310310310 0.2445183645
0.0320320320 0.2508112185
0.0330330330 0.2570313353
0.0340340340 0.2631794396
0.0350350350 0.2692562486
0.0360360360 0.2752624723
0.0370370370 0.2811988139
0.0380380380 0.2870659693
0.0390390390 0.2928646276
0.0400400400 0.2985954711
0.0410410410 0.3042591752
0.0420420420 0.3098564087
0.0430430430 0.3153878336
0.0440440440 0.3208541052
0.0450450450 0.3262558727
0.0460460460 0.3315937784
0.0470470470 0.3368684584
0.0480480480 0.3420805425
0.0490490490 0.3472306540
0.0500500501 0.3523194103
0.0510510511 0.3573474225
0.0520520521 0.3623152955
0.0530530531 0.3672236284
0.0540540541 0.3720730142
0.0550550551 0.3768640400
0.0560560561 0.3815972870
0.0570570571 0.3862733309
0.0580580581 0.3908927412
0.0590590591 0.3954560821
0.0600600601 0.3999639120
0.0610610611 0.4044167839
0.0620620621 0.4088152451
0.0630630631 0.4131598375
0.0640640641 0.4174510977
0.0650650651 0.4216895569
0.0660660661 0.4258757409
0.0670670671 0.4300101705
0.0680680681 0.4340933612
0.0690690691 0.4381258232
0.0700700701 0.4421080618
0.0710710711 0.4460405773
0.0720720721 0.4499238649
0.0730730731 0.4537584149
0.0740740741 0.4575447127
0.0750750751 0.4612832390
0.0760760761 0.4649744696
0.0770770771 0.4686188754
0.0780780781 0.4722169230
0.0790790791 0.4757690740
0.0800800801 0.4792757855
0.0810810811 0.4827375102
0.0820820821 0.4861546961
0.0830830831 0.4895277868
0.0840840841 0.4928572216
0.0850850851 0.4961434352
0.0860860861 0.4993868581
0.0870870871 0.5025879165
0.0880880881 0.5057470324
0.0890890891 0.5088646235
0.0900900901 0.5119411034
0.0910910911 0.5149768816
0.0920920921 0.5179723635
0.0930930931 0.5209279504
0.0940940941 0.5238440397
0.0950950951 0.5267210248
0.0960960961 0.5295592952
0.0970970971 0.5323592364
0.0980980981 0.5351212302
0.0990990991 0.5378456547
0.1001001001 0.5405328839
0.1011011011 0.5431832883
0.1021021021 0.5457972348
0.1031031031 0.5483750865
0.1041041041 0.5509172028
0.1051051051 0.5534239397
0.1061061061 0.5558956495
0.1071071071 0.5583326812
0.1081081081 0.5607353802
0.1091091091 0.5631040883
0.1101101101 0.5654391442
0.1111111111 0.5677408830
0.1121121121 0.5700096365
0.1131131131 0.5722457334
0.1141141141 0.5744494988
0.1151151151 0.5766212548
0.1161161161 0.5787613202
0.1171171171 0.5808700106
0.1181181181 0.5829476386
0.1191191191 0.5849945135
0.1201201201 0.5870109417
0.1211211211 0.5889972263
0.1221221221 0.5909536676
0.1231231231 0.5928805629
0.1241241241 0.5947782064
0.1251251251 0.5966468895
0.1261261261 0.5984869007
0.1271271271 0.6002985254
0.1281281281 0.6020820465
0.1291291291 0.6038377438
0.1301301301 0.6055658945
0.1311311311 0.6072667730
0.1321321321 0.6089406508
0.1331331331 0.6105877970
0.1341341341 0.6122084777
0.1351351351 0.6138029565
0.1361361361 0.6153714945
0.1371371371 0.6169143500
0.1381381381 0.6184317787
0.1391391391 0.6199240341
0.1401401401 0.6213913667
0.1411411411 0.6228340248
0.1421421421 0.6242522542
0.1431431431 0.6256462982
0.1441441441 0.6270163976
0.1451451451 0.6283627910
0.1461461461 0.6296857145
0.1471471471 0.6309854019
0.1481481481 0.6322620845
0.1491491491 0.6335159915
0.1501501502 0.6347473497
0.1511511512 0.6359563838
0.1521521522 0.6371433161
0.1531531532 0.6383083667
0.1541541542 0.6394517536
0.1551551552 0.6405736925
0.1561561562 0.6416743971
0.1571571572 0.6427540788
0.1581581582 0.6438129470
0.1591591592 0.6448512092
0.1601601602 0.6458690704
0.1611611612 0.6468667339
0.1621621622 0.6478444008
0.1631631632 0.6488022704
0.1641641642 0.6497405397
0.1651651652 0.6506594041
0.1661661662 0.6515590568
0.1671671672 0.6524396891
0.1681681682 0.6533014906
0.1691691692 0.6541446486
0.1701701702 0.6549693491
0.1711711712 0.6557757757
0.1721721722 0.6565641105
0.1731731732 0.6573345336
0.1741741742 0.6580872236
0.1751751752 0.6588223569
0.1761761762 0.6595401086
0.1771771772 0.6602406516
0.1781781782 0.6609241574
0.1791791792 0.6615907958
0.1801801802 0.6622407346
0.1811811812 0.6628741402
0.1821821822 0.6634911773
0.1831831832 0.6640920090
0.1841841842 0.6646767965
0.1851851852 0.6652456998
0.1861861862 0.6657988771
0.1871871872 0.6663364849
0.1881881882 0.6668586783
0.1891891892 0.6673656109
