   x      u
0.1991991992 0.6643864442
0.2002002002 0.6647442761
0.2012012012 0.6650885744
0.2022022022 0.6654194740
0.2032032032 0.6657371081
0.2042042042 0.6660416089
0.2052052052 0.6663331074
0.2062062062 0.6666117329
0.2072072072 0.6668776136
0.2082082082 0.6671308766
0.2092092092 0.6673716474
0.2102102102 0.6676000506
0.2112112112 0.6678162093
0.2122122122 0.6680202454
0.2132132132 0.6682122797
0.2142142142 0.6683924317
0.2152152152 0.6685608198
0.2162162162 0.6687175612
0.2172172172 0.6688627718
0.2182182182 0.6689965665
0.2192192192 0.6691190590
0.2202202202 0.6692303619
0.2212212212 0.6693305866
0.2222222222 0.6694198434
0.2232232232 0.6694982417
0.2242242242 0.6695658895
0.2252252252 0.6696228939
0.2262262262 0.6696693610
0.2272272272 0.6697053957
0.2282282282 0.6697311018
0.2292292292 0.6697465824
0.2302302302 0.6697519391
0.2312312312 0.6697472729
0.2322322322 0.6697326836
0.2332332332 0.6697082700
0.2342342342 0.6696741300
0.2352352352 0.6696303604
0.2362362362 0.6695770572
0.2372372372 0.6695143153
0.2382382382 0.6694422287
0.2392392392 0.6693608905
0.2402402402 0.6692703928
0.2412412412 0.6691708269
0.2422422422 0.6690622831
0.2432432432 0.6689448508
0.2442442442 0.6688186186
0.2452452452 0.6686836740
0.2462462462 0.6685401039
0.2472472472 0.6683879942
0.2482482482 0.6682274299
0.2492492492 0.6680584952
0.2502502503 0.6678812736
0.2512512513 0.6676958475
0.2522522523 0.6675022986
0.2532532533 0.6673007080
0.2542542543 0.6670911556
0.2552552553 0.6668737207
0.2562562563 0.6666484819
0.2572572573 0.6664155170
0.2582582583 0.6661749028
0.2592592593 0.6659267155
0.2602602603 0.6656710306
0.2612612613 0.6654079227
0.2622622623 0.6651374659
0.2632632633 0.6648597332
0.2642642643 0.6645747971
0.2652652653 0.6642827295
0.2662662663 0.6639836012
0.2672672673 0.6636774827
0.2682682683 0.6633644436
0.2692692693 0.6630445528
0.2702702703 0.6627178785
0.2712712713 0.6623844884
0.2722722723 0.6620444492
0.2732732733 0.6616978272
0.2742742743 0.6613446881
0.2752752753 0.6609850966
0.2762762763 0.6606191171
0.2772772773 0.6602468132
0.2782782783 0.6598682479
0.2792792793 0.6594834835
0.2802802803 0.6590925818
0.2812812813 0.6586956039
0.2822822823 0.6582926104
0.2832832833 0.6578836611
0.2842842843 0.6574688154
0.2852852853 0.6570481319
0.2862862863 0.6566216690
0.2872872873 0.6561894840
0.2882882883 0.6557516340
0.2892892893 0.6553081755
0.2902902903 0.6548591643
0.2912912913 0.6544046556
0.2922922923 0.6539447043
0.2932932933 0.6534793645
0.2942942943 0.6530086900
0.2952952953 0.6525327339
0.2962962963 0.6520515487
0.2972972973 0.6515651865
0.2982982983 0.6510736990
0.2992992993 0.6505771371
0.3003003003 0.6500755514
0.3013013013 0.6495689919
0.3023023023 0.6490575083
0.3033033033 0.6485411494
0.3043043043 0.6480199640
0.3053053053 0.6474940000
0.3063063063 0.6469633050
0.3073073073 0.6464279262
0.3083083083 0.6458879102
0.3093093093 0.6453433032
0.3103103103 0.6447941510
0.3113113113 0.6442404988
0.3123123123 0.6436823914
0.3133133133 0.6431198732
0.3143143143 0.6425529881
0.3153153153 0.6419817796
0.3163163163 0.6414062909
0.3173173173 0.6408265644
0.3183183183 0.6402426425
0.3193193193 0.6396545669
0.3203203203 0.6390623789
0.3213213213 0.6384661197
0.3223223223 0.6378658296
0.3233233233 0.6372615488
0.3243243243 0.6366533172
0.3253253253 0.6360411739
0.3263263263 0.6354251581
0.3273273273 0.6348053083
0.3283283283 0.6341816626
0.3293293293 0.6335542589
0.3303303303 0.6329231345
0.3313313313 0.6322883266
0.3323323323 0.6316498719
0.3333333333 0.6310078066
0.3343343343 0.6303621668
0.3353353353 0.6297129880
0.3363363363 0.6290603054
0.3373373373 0.6284041540
0.3383383383 0.6277445684
0.3393393393 0.6270815827
0.3403403403 0.6264152308
0.3413413413 0.6257455462
0.3423423423 0.6250725621
0.3433433433 0.6243963114
0.3443443443 0.6237168266
0.3453453453 0.6230341399
0.3463463463 0.6223482833
0.3473473473 0.6216592882
0.3483483483 0.6209671860
0.3493493493 0.6202720076
0.3503503504 0.6195737836
0.3513513514 0.6188725444
0.3523523524 0.6181683200
0.3533533534 0.6174611402
0.3543543544 0.6167510343
0.3553553554 0.6160380315
0.3563563564 0.6153221607
0.3573573574 0.6146034504
0.3583583584 0.6138819289
0.3593593594 0.6131576243
0.3603603604 0.6124305642
0.3613613614 0.6117007761
0.3623623624 0.6109682871
0.3633633634 0.6102331242
0.3643643644 0.6094953139
0.3653653654 0.6087548827
0.3663663664 0.6080118567
0.3673673674 0.6072662617
0.3683683684 0.6065181232
0.3693693694 0.6057674667
0.3703703704 0.6050143172
0.3713713714 0.6042586995
0.3723723724 0.6035006383
0.3733733734 0.6027401577
0.3743743744 0.6019772821
0.3753753754 0.6012120351
0.3763763764 0.6004444405
0.3773773774 0.5996745216
0.3783783784 0.5989023015
0.3793793794 0.5981278032
0.3803803804 0.5973510494
0.3813813814 0.5965720625
0.3823823824 0.5957908648
0.3833833834 0.5950074783
0.3843843844 0.5942219248
0.3853853854 0.5934342258
0.3863863864 0.5926444028
0.3873873874 0.5918524769
0.3883883884 0.5910584691
0.3893893894 0.5902624000
0.3903903904 0.5894642903
0.3913913914 0.5886641602
0.3923923924 0.5878620298
0.3933933934 0.5870579192
0.3943943944 0.5862518479
0.3953953954 0.5854438356
0.3963963964 0.5846339016
0.3973973974 0.5838220650
0.3983983984 0.5830083447
0.3993993994 0.5821927596
0.4004004004 0.5813753281
0.4014014014 0.5805560688
0.4024024024 0.5797349997
0.4034034034 0.5789121390
0.4044044044 0.5780875044
0.4054054054 0.5772611136
0.4064064064 0.5764329842
0.4074074074 0.5756031334
0.4084084084 0.5747715783
0.4094094094 0.5739383361
0.4104104104 0.5731034234
0.4114114114 0.5722668569
0.4124124124 0.5714286531
0.4134134134 0.5705888282
0.4144144144 0.5697473985
0.4154154154 0.5689043799
0.4164164164 0.5680597882
0.4174174174 0.5672136392
0.4184184184 0.5663659482
0.4194194194 0.5655167307
0.4204204204 0.5646660019
0.4214214214 0.5638137769
0.4224224224 0.5629600704
0.4234234234 0.5621048974
0.4244244244 0.5612482723
0.4254254254 0.5603902097
0.4264264264 0.5595307239
0.4274274274 0.5586698290
0.4284284284 0.5578075391
0.4294294294 0.5569438681
0.4304304304 0.5560788298
0.4314314314 0.5552124376
0.4324324324 0.5543447053
0.4334334334 0.5534756460
0.4344344344 0.5526052730
0.4354354354 0.5517335994
0.4364364364 0.5508606381
0.4374374374 0.5499864020
0.4384384384 0.5491109038
0.4394394394 0.5482341560
0.4404404404 0.5473561711
0.4414414414 0.5464769614
0.4424424424 0.5455965391
0.4434434434 0.5447149162
0.4444444444 0.5438321048
0.4454454454 0.5429481167
0.4464464464 0.5420629636
0.4474474474 0.5411766571
0.4484484484 0.5402892086
0.4494494494 0.5394006297
0.4504504505 0.5385109314
0.4514514515 0.5376201250
0.4524524525 0.5367282216
0.4534534535 0.5358352319
0.4544544545 0.5349411669
0.4554554555 0.5340460373
0.4564564565 0.5331498536
0.4574574575 0.5322526264
0.4584584585 0.5313543661
0.4594594595 0.5304550829
0.4604604605 0.5295547870
0.4614614615 0.5286534886
0.4624624625 0.5277511975
0.4634634635 0.5268479238
0.4644644645 0.5259436771
0.4654654655 0.5250384672
0.4664664665 0.5241323037
0.4674674675 0.5232251961
0.4684684685 0.5223171537
0.4694694695 0.5214081859
0.4704704705 0.5204983018
0.4714714715 0.5195875108
0.4724724725 0.5186758216
0.4734734735 0.5177632434
0.4744744745 0.5168497849
0.4754754755 0.5159354549
0.4764764765 0.5150202622
0.4774774775 0.5141042152
0.4784784785 0.5131873225
0.4794794795 0.5122695926
0.4804804805 0.5113510337
0.4814814815 0.5104316542
0.4824824825 0.5095114621
0.4834834835 0.5085904657
0.4844844845 0.5076686728
0.4854854855 0.5067460915
0.4864864865 0.5058227296
0.4874874875 0.5048985948
0.4884884885 0.5039736949
0.4894894895 0.5030480374
0.4904904905 0.5021216300
0.4914914915 0.5011944801
0.4924924925 0.5002665951
0.4934934935 0.4993379823
0.4944944945 0.4984086489
0.4954954955 0.4974786022
0.4964964965 0.4965478492
0.4974974975 0.4956163970
0.4984984985 0.4946842526
0.4994994995 0.4937514228
0.5005005005 0.4928179144
0.5015015015 0.4918837343
0.5025025025 0.4909488890
0.5035035035 0.4900133853
0.5045045045 0.4890772298
0.5055055055 0.4881404287
0.5065065065 0.4872029888
0.5075075075 0.4862649161
0.5085085085 0.4853262172
0.5095095095 0.4843868982
0.5105105105 0.4834469653
0.5115115115 0.4825064246
0.5125125125 0.4815652821
0.5135135135 0.4806235440
0.5145145145 0.4796812160
0.5155155155 0.4787383040
0.5165165165 0.4777948140
0.5175175175 0.4768507516
0.5185185185 0.4759061225
0.5195195195 0.4749609324
0.5205205205 0.4740151869
0.5215215215 0.4730688915
0.5225225225 0.4721220517
0.5235235235 0.4711746728
0.5245245245 0.4702267604
0.5255255255 0.4692783196
0.5265265265 0.4683293558
0.5275275275 0.4673798741
0.5285285285 0.4664298798
0.5295295295 0.4654793779
0.5305305305 0.4645283734
0.5315315315 0.4635768715
0.5325325325 0.4626248769
0.5335335335 0.4616723948
0.5345345345 0.4607194298
0.5355355355 0.4597659868
0.5365365365 0.4588120706
0.5375375375 0.4578576859
0.5385385385 0.4569028373
0.5395395395 0.4559475296
0.5405405405 0.4549917671
0.5415415415 0.4540355545
0.5425425425 0.4530788963
0.5435435435 0.4521217969
0.5445445445 0.4511642607
0.5455455455 0.4502062920
0.5465465465 0.4492478951
0.5475475475 0.4482890744
0.5485485485 0.4473298340
0.5495495495 0.4463701781
0.5505505506 0.4454101109
0.5515515516 0.4444496364
0.5525525526 0.4434887587
0.5535535536 0.4425274819
0.5545545546 0.4415658098
0.5555555556 0.4406037465
0.5565565566 0.4396412958
0.5575575576 0.4386784616
0.5585585586 0.4377152477
0.5595595596 0.4367516579
0.5605605606 0.4357876959
0.5615615616 0.4348233655
0.5625625626 0.4338586703
0.5635635636 0.4328936139
0.5645645646 0.4319281999
0.5655655656 0.4309624320
0.5665665666 0.4299963136
0.5675675676 0.4290298482
0.5685685686 0.4280630393
0.5695695696 0.4270958903
0.5705705706 0.4261284046
0.5715715716 0.4251605855
0.5725725726 0.4241924363
0.5735735736 0.4232239605
0.5745745746 0.4222551611
0.5755755756 0.4212860414
0.5765765766 0.4203166047
0.5775775776 0.4193468540
0.5785785786 0.4183767925
0.5795795796 0.4174064233
0.5805805806 0.4164357495
0.5815815816 0.4154647740
0.5825825826 0.4144935000
0.5835835836 0.4135219303
0.5845845846 0.4125500679
0.5855855856 0.4115779158
0.5865865866 0.4106054768
0.5875875876 0.4096327537
0.5885885886 0.4086597495
0.5895895896 0.4076864668
0.5905905906 0.4067129086
0.5915915916 0.4057390774
0.5925925926 0.4047649761
0.5935935936 0.4037906074
0.5945945946 0.4028159738
0.5955955956 0.4018410780
0.5965965966 0.4008659227
0.5975975976 0.3998905104
0.5985985986 0.3989148437
0.5995995996 0.3979389252
0.6006006006 0.3969627572
0.6016016016 0.3959863424
0.6026026026 0.3950096831
0.6036036036 0.3940327819
0.6046046046 0.3930556411
0.6056056056 0.3920782630
0.6066066066 0.3911006502
0.6076076076 0.3901228048
0.6086086086 0.3891447293
0.6096096096 0.3881664259
0.6106106106 0.3871878968
0.6116116116 0.3862091444
0.6126126126 0.3852301708
0.6136136136 0.3842509783
0.6146146146 0.3832715691
0.6156156156 0.3822919452
0.6166166166 0.3813121089
0.6176176176 0.3803320622
0.6186186186 0.3793518073
0.6196196196 0.3783713462
0.6206206206 0.3773906809
0.6216216216 0.3764098136
0.6226226226 0.3754287462
0.6236236236 0.3744474807
0.6246246246 0.3734660191
0.6256256256 0.3724843633
0.6266266266 0.3715025153
0.6276276276 0.3705204770
