   x      u
0.0000000000 0.0000000000
0.0001000100 0.0008995946
0.0002000200 0.0017981900
0.0003000300 0.0026957872
0.0004000400 0.0035923873
0.0005000500 0.0044879911
0.0006000600 0.0053825997
0.0007000700 0.0062762140
0.0008000800 0.0071688352
0.0009000900 0.0080604641
0.0010001000 0.0089511018
0.0011001100 0.0098407492
0.0012001200 0.0107294074
0.0013001300 0.0116170773
0.0014001400 0.0125037600
0.0015001500 0.0133894563
0.0016001600 0.0142741673
0.0017001700 0.0151578940
0.0018001800 0.0160406374
0.0019001900 0.0169223984
0.0020002000 0.0178031781
0.0021002100 0.0186829773
0.0022002200 0.0195617972
0.0023002300 0.0204396386
0.0024002400 0.0213165025
0.0025002500 0.0221923900
0.0026002600 0.0230673019
0.0027002700 0.0239412394
0.0028002800 0.0248142033
0.0029002900 0.0256861946
0.0030003000 0.0265572143
0.0031003100 0.0274272633
0.0032003200 0.0282963427
0.0033003300 0.0291644534
0.0034003400 0.0300315964
0.0035003500 0.0308977726
0.0036003600 0.0317629830
0.0037003700 0.0326272286
0.0038003800 0.0334905103
0.0039003900 0.0343528291
0.0040004000 0.0352141860
0.0041004100 0.0360745819
0.0042004200 0.0369340177
0.0043004300 0.0377924946
0.0044004400 0.0386500133
0.0045004500 0.0395065749
0.0046004600 0.0403621802
0.0047004700 0.0412168304
0.0048004800 0.0420705263
0.0049004900 0.0429232689
0.0050005001 0.0437750591
0.0051005101 0.0446258979
0.0052005201 0.0454757862
0.0053005301 0.0463247250
0.0054005401 0.0471727153
0.0055005501 0.0480197579
0.0056005601 0.0488658539
0.0057005701 0.0497110041
0.0058005801 0.0505552096
0.0059005901 0.0513984712
0.0060006001 0.0522407899
0.0061006101 0.0530821667
0.0062006201 0.0539226025
0.0063006301 0.0547620982
0.0064006401 0.0556006548
0.0065006501 0.0564382732
0.0066006601 0.0572749544
0.0067006701 0.0581106992
0.0068006801 0.0589455087
0.0069006901 0.0597793837
0.0070007001 0.0606123252
0.0071007101 0.0614443342
0.0072007201 0.0622754115
0.0073007301 0.0631055581
0.0074007401 0.0639347749
0.0075007501 0.0647630629
0.0076007601 0.0655904229
0.0077007701 0.0664168560
0.0078007801 0.0672423629
0.0079007901 0.0680669448
0.0080008001 0.0688906024
0.0081008101 0.0697133367
0.0082008201 0.0705351487
0.0083008301 0.0713560392
0.0084008401 0.0721760092
0.0085008501 0.0729950596
0.0086008601 0.0738131912
0.0087008701 0.0746304052
0.0088008801 0.0754467022
0.0089008901 0.0762620833
0.0090009001 0.0770765494
0.0091009101 0.0778901014
0.0092009201 0.0787027403
0.0093009301 0.0795144668
0.0094009401 0.0803252819
0.0095009501 0.0811351866
0.0096009601 0.0819441818
0.0097009701 0.0827522683
0.0098009801 0.0835594471
0.0099009901 0.0843657191
0.0100010001 0.0851710851
0.0101010101 0.0859755462
